original_word,translated_word
de,of
nu,not
să,to
o,a
în,in the
ce,what the
e,e
că,that
şi,and
la,TO
a,A
cu,with
pe,on
am,I have
un,a
mai,May
asta,to stay
pentru,for
este,It is
sunt,are
ai,you
te,yourself
bine,good
da,Yes
ca,that
dar,but
se,it
din,FROM
fost,former
care,which
fi,be
mă,me
eu,I
aici,here
sa,to
dacă,if
trebuie,must
va,will
cum,How
si,and
tu,you
acum,now
aşa,so
el,he
ar,It
lui,his
ceva,something
când,When
doar,just
eşti,YOU
ei,They
ne,us
mine,ME
tine,YOU
poate,may be
pot,CAN
voi,Vol
face,do what
cred,I guess
îmi,I
au,have
mea,my
spus,SAPS
ştiu,know
unde,where
vă,yourself
meu,my
ea,she
mult,a lot
vreau,I want
s-a,to
despre,about
vrei,want
sau,or
tot,all
foarte,very
pare,look
acolo,there
chiar,even
in,in the
noi,we
bună,Hi
ta,your
era,It was
nimic,nothing
faci,MAKE
are,It has
făcut,made
cine,who
nici,ANY
putea,TO
ştii,Know
fac,do
fie,OR
nevoie,need
trebui,BE
rău,bad
atunci,then
timp,time
tău,your
spun,I say
și,and
rog,PLEASE
acest,this
îţi,you
nu-i,I do not
spune,say
avem,HAVE
poţi,You can
al,of
le,they
după,after
vom,we will
deci,so
îl,YOU
prea,too
mulţumesc,thank you
să-l,shawl
cineva,someone
oh,Oh
toate,all
ani,years
cel,THE
suntem,WE
vei,YOU
bun,good
sigur,sure
vor,WILL
vrea,WANTS
mare,big
îi,THEM
iar,and
până,until
cât,How
haide,Come on
crezi,believe
încă,yet
hei,Hey
stai,stay
atât,BOTH
totul,ALL
avea,have
venit,income
spui,say
ăsta,to stay
avut,HAD
m-am,I
lucru,WORK
să-ţi,TO YOUR
văzut,seen
fel,KIND
să-i,Let us
putem,CAN
ceea,EAEC
n-am,I
să-mi,Me
fără,free
ma,me
mama,mother
place,like
aş,I would
decât,than
asa,so
domnule,SIR
niciodată,never
regulă,rule
mi-a,MY
prin,through
s-o,and a
esti,YOU
înainte,before
văd,I'm seeing
mergem,Go
unul,one
uite,look
puţin,little bit
hai,let's
loc,place
nimeni,no one
toată,all
apoi,then
vezi,see
dat,given
întâmplat,happen
fii,BE
naiba,DAMMIT
nou,new
oameni,people
ia,takes
facem,we make
zi,day
acasă,the home
multe,many
jos,down
lumea,the world
două,two
toţi,all
nu-mi,I
daca,if
